data,category,name
216366733,Adventure,Madagascar 3: Europe's Most Wanted
216119491,Action,Saving Private Ryan 
215397307,Action,Mission: Impossible II 
215395021,Action,Kung Fu Panda 
214948780,Action,X-Men 2
213079163,Action,Austin Powers in Goldmember 
210609762,Adventure,Back to the Future 
210592590,Action,300
209805005,Action,Fast Five 
209364921,Action,Mission: Impossible - Ghost Protocol 
209019489,Action,Sherlock Holmes 
208543795,Action,Dawn of the Planet of the Apes 
206456431,Adventure,Charlie and the Chocolate Factory 
206435493,Animation,Ratatouille 
206360018,Action,Thor: The Dark World 
205399422,Action,Austin Powers: The Spy Who Shagged Me 
205343774,Action,Batman Begins 
204843350,Action,Terminator 2: Judgment Day
204565000,Horror,The Exorcist 
202853933,Action,The Amazing Spider-Man 2
202351611,Action,World War Z 
202007640,Action,The Mummy Returns 
201573391,Action,Armageddon 
201148159,Drama,Cinderella 
201148159,Drama,Cinderella 
200807262,Adventure,Tangled 
200074175,Action,Spectre 
200069408,Action,Superman Returns 
198655278,Drama,Gone with the Wind 
198539855,Action,Pearl Harbor 
198332128,Action,Monsters vs. Aliens 
197992827,Animation,Happy Feet 
197171806,Action,Indiana Jones and the Last Crusade 
196573705,Action,Ice Age: Dawn of the Dinosaurs 
195329763,Action,Ice Age: The Meltdown 
195000874,Action,Mission: Impossible - Rogue Nation 
193136719,Adventure,Madagascar 
191796233,Adventure,Toy Story 
191616238,Action,22 Jump Street
191450875,Adventure,Cars 2
191449475,Drama,Twilight 
191449475,Drama,Twilight 
190871240,Action,Teenage Mutant Ninja Turtles 
190871240,Action,Teenage Mutant Ninja Turtles 
190418803,Action,Men in Black II 
189412677,Adventure,Wreck-It Ralph 
187991439,Adventure,Interstellar 
187670866,Action,Gladiator 
187165546,Adventure,The Croods 
186830669,Action,Sherlock Holmes: A Game of Shadows 
186739919,Action,The Day After Tomorrow 
186336103,Action,Mr. & Mrs. Smith 
184925485,Animation,Snow White and the Seven Dwarfs 
184208848,Adventure,Dances with Wolves 
184031112,Action,Batman Forever 
183875760,Action,The Fugitive 
183635922,Adventure,The Revenant 
183436380,Comedy,Pitch Perfect 2
183405771,Crime,Ocean's Eleven 
183132370,Adventure,The Simpsons Movie 
182805123,Comedy,What Women Want 
182618434,Action,The Perfect Storm 
182204440,Biography,Lincoln 
181395380,Comedy,Liar Liar 
181360000,Musical,Grease 
181166115,Action,Jurassic Park III 
181015141,Action,Thor 
180965237,Action,Mission: Impossible 
180191634,Action,Ant-Man 
180011740,Action,Planet of the Apes 
180011740,Action,Planet of the Apes 
179982968,Action,Madagascar: Escape 2 Africa
179883016,Action,X-Men Origins: Wolverine 
179870271,Action,Indiana Jones and the Temple of Doom 
179020854,Action,Men in Black 3
178406268,Comedy,Pretty Woman 
177575142,Comedy,Hitch 
177343675,Adventure,Home 
177343675,Adventure,Home 
177343675,Adventure,Home 
177243721,Adventure,Night at the Museum: Battle of the Smithsonian 
177200000,Comedy,Tootsie 
176997107,Action,How to Train Your Dragon 2
176781728,Action,Top Gun 
176740650,Action,Rise of the Planet of the Apes 
176636816,Action,Captain America: The First Avenger 
176483808,Comedy,There's Something About Mary 
176387405,Adventure,Ice Age 
176049130,Action,The Bourne Supremacy 
174635000,Adventure,Crocodile Dundee 
173585516,Adventure,Home Alone 2: Lost in New York
173381405,Comedy,Elf 
173005002,Action,National Treasure 
172825435,Drama,Rain Man 
172620724,Action,Air Force One 
172071312,Adventure,Apollo 13
172051787,Action,TRON: Legacy 
172051787,Action,TRON: Legacy 
171383253,Action,The Matrix 
171031347,Adventure,True Grit 
170708996,Biography,A Beautiful Mind 
170684505,Comedy,Chicago 
169705587,Drama,The Help 
169692572,Animation,Hotel Transylvania 2
169076745,Comedy,Bridesmaids 
168368427,Action,Quantum of Solace 
168213584,Action,Wild Hogs 
167780960,Comedy,3 Men and a Baby
167735396,Crime,Gone Girl 
167007184,Action,Casino Royale 
167007184,Action,Casino Royale 
166225040,Comedy,Meet the Parents 
166147885,Drama,Fifty Shades of Grey 
166112167,Action,2012
165500000,Action,Robin Hood: Prince of Thieves 
165230261,Action,Kung Fu Panda 2
164435221,Biography,Catch Me If You Can 
163947053,Comedy,The Proposal 
163479795,Comedy,Big Daddy 
163214286,Biography,The Sound of Music 
163192114,Action,Clash of the Titans 
163192114,Action,Clash of the Titans 
162831698,Action,Batman Returns 
162804648,Drama,Django Unchained 
162792677,Adventure,A Bug's Life 
162586036,Biography,The Pursuit of Happyness 
162495848,Adventure,The SpongeBob Movie: Sponge Out of Water 
162001186,Comedy,Grown Ups 
161487252,Comedy,The Waterboy 
161317423,Adventure,Ice Age: Continental Drift 
161087183,Action,Suicide Squad 
161029270,Biography,Straight Outta Compton 
160762022,Adventure,Shark Tale 
160201106,Action,Die Another Day 
159600000,Comedy,The Sting 
159578352,Action,The Heat 
158348400,Drama,The Firm 
158115031,Comedy,The Longest Yard 
157299717,Action,X-Men 
156645693,Drama,Fatal Attraction 
155370362,Drama,What Lies Beneath 
155181732,Action,San Andreas 
155111815,Action,Snow White and the Huntsman 
155019340,Adventure,Over the Hedge 
154985087,Action,X-Men: Apocalypse 
153665036,Action,Beverly Hills Cop II 
153629485,Action,Mad Max: Fury Road 
153620822,Comedy,Jerry Maguire 
153288182,Adventure,Scooby-Doo 
152149590,Comedy,Runaway Bride 
150832203,Adventure,Divergent 
150415432,Action,Rambo: First Blood Part II 
150368971,Comedy,We're the Millers 
150350192,Action,Terminator 3: Rise of the Machines
150315155,Comedy,Daddy's Home 
150167630,Action,G.I. Joe: The Rise of Cobra 
150117807,Crime,American Hustle 
150056505,Comedy,Neighbors 
149234747,Action,Puss in Boots 
148775460,Drama,Les Misérables 
148734225,Comedy,Knocked Up 
148383780,Comedy,Little Fockers 
148337537,Action,Megamind 
148313048,Animation,Hotel Transylvania 
148213377,Action,Talladega Nights: The Ballad of Ricky Bobby 
148170000,Comedy,Gremlins 
148085755,Drama,Gran Torino 
147637474,Comedy,As Good as It Gets 
146405371,Action,X-Men: First Class 
146282411,Action,True Lies 
145771527,Adventure,Lilo & Stitch 
145096820,Comedy,American Pie 2
145000989,Action,Taken 
144833357,Comedy,The Santa Clause 
144812796,Drama,The Great Gatsby 
144812796,Drama,The Great Gatsby 
144795350,Action,"I, Robot "
144731527,Action,Lethal Weapon 3
144512310,Action,The Fast and the Furious 
144512310,Action,The Fast and the Furious 
144512310,Action,The Fast and the Furious 
144156464,Comedy,Doctor Dolittle 
143704210,Comedy,Mamma Mia! 
143618384,Adventure,Rio 
143523463,Action,Kung Fu Panda 3
143492840,Comedy,Juno 
143492840,Comedy,Juno 
143151473,Comedy,Marley & Me 
142614158,Adventure,The Smurfs 
141614023,Action,The Chronicles of Narnia: Prince Caspian 
141600000,Adventure,Pocahontas 
141600000,Comedy,Animal House 
141340178,Drama,A Few Good Men 
141319195,Drama,Slumdog Millionaire 
141204016,Action,xXx 
140530114,Horror,The Blair Witch Project 
140459099,Action,Deep Impact 
140080850,Action,Rush Hour 3
140015224,Adventure,Stuart Little 
139852971,Action,Taken 2
139259759,Action,The Matrix Revolutions 
139225854,Comedy,The Santa Clause 2
138795342,Biography,The King's Speech 
138614544,Comedy,Cheaper by the Dozen 
138447667,Action,21 Jump Street
138396624,Action,Bad Boys II 
138339411,Drama,Good Will Hunting 
137963328,Drama,Platoon 
137850096,Animation,A Christmas Carol 
137748063,Adventure,Dinosaur 
137387272,Horror,The Conjuring 
137340146,Comedy,Click 
136801374,Crime,The Green Mile 
136448821,Crime,Ransom 
136019448,Biography,Argo 
135381507,Adventure,Chicken Little 
135014968,Biography,Patch Adams 
134821952,Crime,The Godfather 
134568845,Action,Wanted 
134520804,Action,Live Free or Die Hard 
134518390,Action,The Incredible Hulk 
134455175,Comedy,Identity Thief 
134218018,Action,Superman 
134141530,Action,Ride Along 
134006721,Action,The Rock 
133668525,Comedy,Grown Ups 2
133382309,Action,Mission: Impossible III 
133375846,Mystery,Angels & Demons 
133228348,Adventure,Troy 
133103929,Adventure,Alvin and the Chipmunks: Chipwrecked 
132550960,Action,The Wolverine 
132541238,Comedy,Bringing Down the House 
132373442,Crime,The Departed 
132122995,Action,Hulk 
132088910,Comedy,Silver Linings Playbook 
132014112,Action,Minority Report 
131920333,Action,Fantastic 4: Rise of the Silver Surfer
131564731,Action,The Last Airbender 
131536019,Adventure,Rio 2
131144183,Action,Lara Croft: Tomb Raider 
130727000,Crime,The Silence of the Lambs 
130512915,Comedy,The Flintstones 
130468626,Action,Star Trek Beyond 
130313314,Action,Get Smart 
130174897,Adventure,The Peanuts Movie 
130127620,Biography,American Gangster 
130058047,Drama,American Beauty 
129995817,Adventure,Insurgent 
129734803,Action,Lethal Weapon 4
128769345,Comedy,The Nutty Professor 
128505958,Comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan 
128300000,Drama,Close Encounters of the Third Kind 
128200012,Adventure,Robots 
128067808,Action,"Crouching Tiger, Hidden Dragon "
127997349,Adventure,Into the Woods 
127968405,Mystery,Shutter Island 
127706877,Animation,Enchanted 
127490802,Drama,The Curious Case of Benjamin Button 
127214072,Comedy,Sweet Home Alabama 
127175354,Comedy,Dumb & Dumber 
127083765,Action,2 Fast 2 Furious
126975169,Mystery,Super 8
126930660,Action,The World Is Not Enough 
126805112,Comedy,My Best Friend's Wedding 
126597121,Adventure,Bee Movie 
126546825,Action,Lucy 
126464904,Adventure,Prometheus 
126203320,Comedy,Mr. Deeds 
126149655,Action,Safe House 
126088877,Action,Central Intelligence 
125603360,Comedy,The Truman Show 
125548685,Biography,Erin Brockovich 
125531634,Crime,Ocean's Twelve 
125332007,Action,Tomorrow Never Dies 
125320003,Action,Terminator Salvation 
125305545,Action,Charlie's Angels 
125069696,Action,Lone Survivor 
125014030,Drama,The Vow 
124976634,Adventure,Life of Pi 
124870275,Animation,Cloudy with a Chance of Meatballs 
124868837,Drama,The Fault in Our Stars 
124732962,Comedy,The Devil Wears Prada 
124590960,Comedy,Something's Gotta Give 
124107476,Crime,Traffic 
124051759,Action,The Legend of Tarzan 
124051759,Action,The Legend of Tarzan 
123922370,Biography,"Good Morning, Vietnam "
123307945,Comedy,Nutty Professor II: The Klumps 
123207194,Adventure,Rango 
123070338,Adventure,The Good Dinosaur 
122512052,Action,G.I. Joe: Retaliation 
122012710,Action,Clear and Present Danger 
122012643,Action,The Hunt for Red October 
121945720,Action,The Bodyguard 
121697350,Comedy,Wayne's World 
121468960,Action,The Bourne Identity 
121463226,Comedy,Superbad 
121248145,Action,Speed 
120776832,Comedy,50 First Dates
120618403,Adventure,Mulan 
120523073,Adventure,Inglourious Basterds 
120147445,Drama,Seabiscuit 
120136047,Comedy,Four Christmases 
119938730,Action,The Mask 
119793567,Animation,Cloudy with a Chance of Meatballs 2
119654900,Adventure,Hook 
119518352,Biography,Walk the Line 
119500000,Comedy,Blazing Saddles 
119420252,Action,G-Force 
119412921,Action,Total Recall 
119412921,Action,Total Recall 
119219978,Action,The Other Guys 
119078393,Documentary,Fahrenheit 9/11
118823091,Comedy,Hairspray 
118683135,Comedy,The Break-Up 
118500000,Adventure,Back to the Future Part II 
118471320,Action,The Sum of All Fears 
118311368,Action,Salt 
118153533,Comedy,Blades of Glory 
118099659,Action,Ghostbusters 
118099659,Action,Ghostbusters 
117698894,Crime,Now You See Me 
117559438,Action,Big Momma's House 
117541000,Action,Die Hard 2
117528646,Comedy,Horrible Bosses 
117235247,Drama,Rocky 
117224271,Action,Jackass 3D
117144465,Crime,Ocean's Thirteen 
116866727,Biography,The Wolf of Wall Street 
116735231,Crime,Double Jeopardy 
116724075,Drama,8 Mile
116643346,Action,S.W.A.T. 
116631310,Biography,Lee Daniels' The Butler 
116593191,Action,Green Lantern 
116006080,Comedy,Notting Hill 
115802596,Action,Ghost Rider 
115731542,Comedy,You've Got Mail 
115648585,Biography,Remember the Titans 
115646235,Action,District 9
115603980,Biography,Unbroken 
115603980,Biography,Unbroken 
115000000,Comedy,American Graffiti 
114968774,Comedy,Big 
114324072,Comedy,Dodgeball: A True Underdog Story 
114324072,Comedy,Dodgeball: A True Underdog Story 
114195633,Drama,The Village 
114053579,Adventure,Bolt 
113745408,Action,Wild Wild West 
113733726,Adventure,Night at the Museum: Secret of the Tomb 
113709992,Comedy,Magic Mike 
113502246,Comedy,The Addams Family 
113330342,Action,The Patriot 
113165635,Action,The Bourne Legacy 
113006880,Action,The Pacifier 
112950721,Comedy,Dr. Dolittle 2
112703470,Comedy,It's Complicated 
112692062,Action,Spy Kids 
112225777,Action,Face/Off 
112000000,Drama,One Flew Over the Cuckoo's Nest 
111936400,Comedy,Twins 
111760631,Action,Spy Kids 3-D: Game Over
111722000,Drama,Doctor Zhivago 
111544445,Action,Enemy of the State 
111505642,Adventure,Mr. Peabody & Sherman 
111110575,Action,The Last Samurai 
110476776,Comedy,Valentine's Day 
110416702,Action,Tropic Thunder 
110332737,Comedy,Fun with Dick and Jane 
110222438,Comedy,Freaky Friday 
110175871,Horror,The Grudge 
110008260,Comedy,Trainwreck 
110000082,Comedy,Scary Movie 3
109993847,Comedy,Bedtime Stories 
109713132,Adventure,Star Trek IV: The Voyage Home 
109712885,Drama,Creed 
109306210,Action,Crocodile Dundee II 
109243478,Comedy,The 40-Year-Old Virgin
109176215,Comedy,Couples Retreat 
108706165,Crime,A Time to Kill 
108638745,Drama,Black Hawk Down 
108521835,Action,Jason Bourne 
108360000,Adventure,Ace Ventura: When Nature Calls 
108244774,Comedy,The Princess Diaries 
108200000,Action,Superman II 
108012170,Adventure,Hop 
107930000,Crime,Pulp Fiction 
107917283,Horror,Paranormal Activity 
107515297,Adventure,Epic 
107503316,Action,Watchmen 
107458785,Comedy,A League of Their Own 
107285004,Action,Batman & Robin 
107225164,Action,The Angry Birds Movie 
107100855,Biography,Captain Phillips 
106952327,Drama,Black Swan 
106807667,Action,Miss Congeniality 
106793915,Adventure,Chicken Run 
106694016,Comedy,Analyze This 
106635996,Action,GoldenEye 
106593296,Comedy,Driving Miss Daisy 
106369117,Action,300: Rise of an Empire
106126012,Action,The Italian Job 
105807520,Comedy,How to Lose a Guy in 10 Days
105500000,Comedy,Porky's 
105444419,Comedy,The First Wives Club 
105264608,Drama,Interview with the Vampire: The Vampire Chronicles 
105263257,Action,George of the Jungle 
105219735,Action,Robin Hood 
104632573,Drama,Phenomenon 
104383624,Adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader 
104374107,Animation,The Princess and the Frog 
104354205,Comedy,American Wedding 
104148781,Comedy,Daddy Day Care 
104054514,Crime,Road to Perdition 
104007828,Horror,Paranormal Activity 3
103812241,Action,Journey 2: The Mysterious Island
103738726,Action,Dick Tracy 
103400692,Adventure,Rise of the Guardians 
103338338,Drama,Dreamgirls 
103028109,Comedy,Just Go with It 
103001286,Horror,Scream 
102981571,Action,The Expendables 
102922376,Adventure,Jaws 2
102797150,Animation,Bambi 
102678089,Drama,The General's Daughter 
102608827,Biography,The Aviator 
102515793,Crime,The Girl with the Dragon Tattoo 
102413606,Action,The Maze Runner 
102315545,Action,Independence Day: Resurgence 
102310175,Horror,The Conjuring 2
102308900,Biography,Butch Cassidy and the Sundance Kid 
102300000,Comedy,Mary Poppins 
102176165,Action,The Mummy: Tomb of the Dragon Emperor 
101978840,Comedy,Bad Grandpa 
101785482,Action,Pacific Rim 
101736215,Comedy,American Pie 
101702060,Action,Journey to the Center of the Earth 
101643008,Action,Gone in Sixty Seconds 
101530738,Action,The Equalizer 
101470202,Comedy,This Is the End 
101334374,Horror,Scream 2
101228120,Action,Eraser 
101217900,Adventure,The Prince of Egypt 
101160529,Action,Noah 
101157447,Drama,Unforgiven 
101111837,Action,Eagle Eye 
101087161,Action,Con Air 
100853835,Drama,Contact 
100768056,Crime,The Pelican Brief 
100685880,Action,Charlie's Angels: Full Throttle 
100614858,Fantasy,Vanilla Sky 
100491683,Adventure,The Rugrats Movie 
100468793,Comedy,Step Brothers 
100448498,Comedy,Due Date 
100446895,Adventure,The Cat in the Hat 
100422786,Drama,Million Dollar Baby 
100328194,Comedy,Casper 
100292856,Comedy,Bad Teacher 
100289690,Comedy,Evan Almighty 
100241322,Comedy,Shakespeare in Love 
100189501,Action,Edge of Tomorrow 
100169068,Adventure,Yogi Bear 
100125340,Crime,Se7en
100117603,Animation,The Hunchback of Notre Dame 
100018837,Action,You Don't Mess with the Zohan 
100012500,Action,Die Hard with a Vengeance 
100003492,Crime,Collateral 
98895417,Action,Olympus Has Fallen 
98780042,Action,The Green Hornet 
98711404,Comedy,Date Night 
97680195,Comedy,Yes Man 
97360069,Action,Inspector Gadget 
97030725,Biography,Public Enemies 
96917897,Biography,The Social Network 
96471845,Fantasy,The Others 
96067179,Biography,Schindler's List 
95860116,Comedy,Dead Poets Society 
95720716,Drama,Zero Dark Thirty 
95632614,Adventure,Cold Mountain 
95328937,Comedy,Sex and the City 2
95308367,Crime,Panic Room 
95149435,Comedy,The Princess Diaries 2: Royal Engagement
95001351,Comedy,Legally Blonde 
95001343,Biography,42
94999143,Drama,Unbreakable 
94900000,Drama,Flashdance 
94822707,Action,The Book of Eli 
94497271,Adventure,Beverly Hills Chihuahua 
94175854,Drama,The Color Purple 
94125426,Biography,Julie & Julia 
93952276,Comedy,He's Just Not That Into You 
93926386,Action,Master and Commander: The Far Side of the World 
93815117,Comedy,Maid in Manhattan 
93771072,Action,The Mask of Zorro 
93749203,Drama,Flight 
93607673,Comedy,America's Sweethearts 
93571803,Biography,The Fighter 
93452056,Adventure,The Bucket List 
93417865,Action,Tomorrowland 
93375151,Action,Cats & Dogs 
93307796,Comedy,Two Weeks Notice 
93050117,Action,Elysium 
92969824,Comedy,Flubber 
92930005,Crime,Red Dragon 
92823600,Comedy,When Harry Met Sally... 
92173235,Crime,The Town 
92115211,Crime,The Client 
92001027,Action,Star Trek: First Contact 
91547205,Comedy,Think Like a Man 
91457688,Action,Kindergarten Cop 
91443253,Biography,Heaven Is for Real 
91439400,Action,Non-Stop 
91400000,Action,Crimson Tide 
91188905,Fantasy,The Haunting 
91121452,Biography,The Imitation Game 
91038276,Drama,Save the Last Dance 
91030827,Comedy,Stepmom 
90835030,Action,Ride Along 2
90800000,Action,The Karate Kid 
90800000,Action,The Karate Kid 
90755643,Action,Prince of Persia: The Sands of Time 
90703745,Comedy,Scary Movie 4
90646554,Adventure,Antz 
90636983,Comedy,The Game Plan 
90567722,Comedy,"Me, Myself & Irene "
90556401,Comedy,High School Musical 3: Senior Year
90485233,Comedy,Madea Goes to Jail 
90454043,Action,Space Cowboys 
90443603,Adventure,Space Jam 
90400000,Comedy,Trading Places 
90356857,Action,RED 
90353764,Comedy,Get Hard 
90341670,Action,The Scorpion King 
90135191,Crime,Mystic River 
89808372,Comedy,"Legally Blonde 2: Red, White & Blonde"
89732035,Action,Terminator Genisys 
89706988,Drama,Flightplan 
89296573,Adventure,The Emperor's New Groove 
89289910,Action,The Lone Ranger 
89253340,Action,Taken 3
89138076,Horror,Scream 3
89021735,Action,Oblivion 
88915214,Comedy,The Ugly Truth 
88761720,Adventure,Percy Jackson & the Olympians: The Lightning Thief 
88658172,Comedy,Failure to Launch 
88625922,Adventure,The Muppets 
88504640,Crime,Inside Man 
88246220,Action,Waterworld 
88200225,Comedy,Starsky & Hutch 
87856565,Comedy,Along Came Polly 
87704396,Action,Entrapment 
87666629,Adventure,Back to the Future Part III 
87341380,Action,Pineapple Express 
87100000,Biography,Out of Africa 
87025093,Horror,Saw II 
86930411,Comedy,The Naked Gun 2½: The Smell of Fear
86897182,Comedy,The Campaign 
86300000,Comedy,Young Frankenstein 
86208010,Comedy,Dumb and Dumber To 
86049418,Comedy,Mean Girls 
85911262,Comedy,Annie 
85884815,Adventure,Alvin and the Chipmunks: The Road Chip 
85707116,Action,Fury 
85570368,Action,Spy Kids 2: Island of Lost Dreams
85463309,Action,Real Steel 
85416609,Adventure,The SpongeBob SquarePants Movie 
85300000,Action,Stripes 
85200000,Action,Aliens 
85017401,Action,The Expendables 2
84749884,Horror,Paranormal Activity 2
84518155,Comedy,Tammy 
84303558,Adventure,Open Season 
84300000,Animation,Pinocchio 
84263837,Horror,Annabelle 
84244877,Comedy,"Crazy, Stupid, Love. "
84185387,Adventure,Scooby-Doo 2: Monsters Unleashed
84136909,Comedy,Anchorman: The Legend of Ron Burgundy 
84049211,Action,Cliffhanger 
84037039,Action,Atlantis: The Lost Empire 
83906114,Comedy,The Other Woman 
83892374,Drama,The X Files 
83813460,Drama,Up in the Air 
83640426,Action,Wrath of the Titans 
83574831,Fantasy,Insidious: Chapter 2
83552429,Action,Battle Los Angeles 
83503161,Action,Immortals 
83400000,Comedy,Airplane! 
83348920,Adventure,Penguins of Madagascar 
83299761,Biography,Saving Mr. Banks 
83287363,Action,Patriot Games 
83077470,Drama,Valkyrie 
83025853,Drama,Brokeback Mountain 
83024900,Adventure,Turbo 
83000000,Drama,Disclosure 
82931301,Comedy,Monster-in-Law 
82670733,Action,Days of Thunder 
82624961,Comedy,The Descendants 
82569532,Adventure,Cheaper by the Dozen 2
82528097,Drama,Mr. Holland's Opus 
82522790,Fantasy,Bram Stoker's Dracula 
82506325,Comedy,Charlotte's Web 
82389560,Comedy,Let's Be Cops 
82301521,Adventure,Are We There Yet? 
82300000,Adventure,Star Trek: The Motion Picture 
82234139,Adventure,Bridge to Terabithia 
82226474,Adventure,The Pink Panther 
82163317,Action,Freddy vs. Jason 
82161969,Action,Beowulf 
81687587,Action,The Scorch Trials 
81645152,Action,Blade II 
81638674,Action,Teenage Mutant Ninja Turtles: Out of the Shadows 
81593527,Adventure,Eight Below 
81557479,Action,Unstoppable 
81517441,Action,Payback 
81350242,Action,Die Hard 
81292135,Crime,The Talented Mr. Ripley 
81257845,Comedy,School of Rock 
81257500,Comedy,Ted 2
81200000,Comedy,Police Academy 
81159365,Crime,21
81150692,Adventure,Snow Dogs 
81022333,Action,Congo 
80920948,Action,Jimmy Neutron: Boy Genius 
80574010,Drama,Eat Pray Love 
80360866,Comedy,Zookeeper 
80281096,Action,AVP: Alien vs. Predator 
80276912,Comedy,What Happens in Vegas 
80270227,Action,The Dukes of Hazzard 
80197993,Comedy,Nacho Libre 
80170146,Action,Jumper 
80150343,Horror,Saw III 
80050171,Drama,Disturbia 
80050171,Drama,Disturbia 
80034302,Action,Cloverfield 
